exercise_ids,roles,source,candidate,status,source_sha256,candidate_sha256,dimensions,mode,format,horizon_y,mask_pixels,changed_pixels,changed_outside_environment_mask,wall_relative_shift_Lab,floor_relative_shift_Lab
hip,"hip:START,hip:END",Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,STRONG COLOR FIX,38d74cdf7ee472b456cb545bba67696a3b925089cbbb9932300fafebe0cf03bb,a7beacfc6ab6573ade9f75cffb8a91fe34f8b5494b2f3382d918167fc5733b55,1536x1024,RGB,PNG,768,1121177,1121177,0,"[-1.188, 0.626, 3.6]","[-1.386, -1.012, 1.928]"
hip,hip:HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,STRONG COLOR FIX,52dbbe56e6c424b333ea04daf37164760aab72b261312999c82bb26ce64a21b6,eaa145f2d7217a7c2b460cd36127a5c42f667c4b7d7c6acfceea4f3ef12ea1e4,1536x1024,RGB,PNG,797,1080594,1080594,0,"[-1.188, 0.772, 3.6]","[-1.386, -1.677, -0.449]"
rdl,"rdl:START,rdl:END",Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,candidates/Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,STRONG COLOR FIX,dd57f48952eefad6bf9a00343fdd247dffabe8c144cca4d80a8b45ba1b4f3667,d2e31a7124f6bf997f9d16338e8acc6d145a0b1b39d78dd3b509e19374805dad,1536x1024,RGB,PNG,695,1232948,1232948,0,"[-1.188, 0.689, 2.63]","[-1.386, -0.519, 3.766]"
rdl,rdl:HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,STRONG COLOR FIX,16e8b9a2992310a6cab59bb1541f36302564f6fb7fe578d8bda9fd23b59498e2,d3a014fddf1e3f2f7c7baa1b5bda81e90f1913725f7d8e43f0a8084ae83c6f14,1536x1024,RGB,PNG,694,1191483,1191483,0,"[-1.188, 0.212, 3.524]","[-1.386, -0.792, 4.032]"
hydrant,"hydrant:START,hydrant:END",Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,candidates/Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,STRONG COLOR FIX,253f47ba096fe2d3edf9d10d0fde8169d66e6dbda1360fd2d161e3a4e4972a28,f72819146aa0a95c9db0f09cff2b890d4c42710d113bfba15ec5abb32ce71fcf,1536x1024,RGB,PNG,755,1048842,1048842,0,"[-1.188, 0.554, 3.6]","[-1.14, -0.283, 2.25]"
hydrant,hydrant:HERO,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,STRONG COLOR FIX,11cf871fec46ea7faed32bab63ebd9f791c5e3d7624907046899a31e6f00a7b4,9a3c0ed62248116c61acf013069ffd6b5ebf5922577d080fc02769a179b25338,1536x1024,RGB,PNG,771,1029993,1029993,0,"[-1.188, 0.334, 3.6]","[-0.944, -0.746, 1.93]"
donkey,"donkey:START,donkey:END",Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,candidates/Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,STRONG COLOR FIX,4a52bc908cc5616bc94ea795a9aab08fd0bef91a575a5ca45040cdce8c6c0db8,eb3fe426eb91a7a7e101e10547ccd8a788b6e8fa506148c32bccce298681ed8f,1536x1024,RGB,PNG,758,1068158,1068158,0,"[-1.188, 0.418, 3.6]","[-0.394, -1.693, -1.787]"
donkey,donkey:HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,STRONG COLOR FIX,5c4d772d492aee5d9bd9eef55fbd4328f62ed5db017f5a0b63d651b4ae463493,af0f1aeddb67c8a2f1e1b9f7916e5fd5c58ca31b810e3e5cf863cad820508d09,1536x1024,RGB,PNG,779,1021595,1021595,0,"[-1.188, 0.481, 3.6]","[0.135, -2.075, -2.707]"
frog,"frog:START,frog:END",Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,candidates/Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,MINOR COLOR FIX,023676a06d9fd1d8a9d86f0aeb9cce86c273a6dbb7d3c7d48f570165a4387dcc,888f2bbb4215215c4415ea9149a7c907b4e93827dcee61bce1ca0b2489b06661,1536x1024,RGB,PNG,755,1143991,1143991,0,"[-1.188, 0.371, 0.991]","[-1.386, -0.748, 0.206]"
frog,frog:HERO,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,MINOR COLOR FIX,090e68ecf8fac3e93f863b40380749d9b76ca672bfa211f56240785cd6333c14,04a3e7d2eea42bda8f1c744361492de4d6f402d1d247e9944331e9282245ef42,1536x1024,RGB,PNG,700,1108582,1108582,0,"[-1.188, 0.491, 1.87]","[-1.386, -1.721, -0.823]"
clam,"clam:START,clam:END",Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,candidates/Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,STRONG COLOR FIX,3d4bfd626d4ce235c16e8eb451ad5e2106f183a5780c3bd0125f823c1ad6286d,0bdebc927fb7526eaae98f8710a1054c082f7382db2fdcaab3a0b11f88546603,1536x1024,RGB,PNG,777,1090933,1090933,0,"[-1.188, 0.27, 3.6]","[-1.386, -0.729, 3.317]"
clam,clam:HERO,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,STRONG COLOR FIX,e2f89da7cc6ca7884f4c619b275948fddb88f5fe08a57f658b25b8153c02394d,7a356b8a915ff2644a1b7ba33b071e012ad893b95eed97f3167111e3d39fd0cc,1536x1024,RGB,PNG,785,1076914,1076914,0,"[-1.188, 0.574, 3.6]","[-1.386, -0.548, 3.803]"
sideleg,"sideleg:START,sideleg:END",Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,candidates/Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,STRONG COLOR FIX,60ea5bf79aae4648610220d4e9e0efad417cb0eae065429b312b391372f39e09,0b54c7d7b1b0634b856cfaa9197bee6519fc7a5a8b3e31741bd91755708fb874,1536x1024,RGB,PNG,706,1107998,1107998,0,"[-1.188, 0.626, 3.6]","[-1.386, -0.326, 3.572]"
sideleg,sideleg:HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,STRONG COLOR FIX,969a636fdc053566eeb979d91536545f0dd35d54acd67e24f09bca76b86b03c7,164536b1f27a97d3172dc8ab76ade7baea0abb4ab3bb46363ca9ecc0ce583e5f,1536x1024,RGB,PNG,788,1038739,1038739,0,"[-1.188, 0.409, 3.6]","[-1.386, -0.427, 3.896]"
sideplank,"sideplank:START,sideplank:END",Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_start.png,candidates/Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_start.png,STRONG COLOR FIX,67211c832812fde512f0847eb9a209d65aef918c411d269841204db87be7ba93,7e365031ec2ef8ece5d34db374eb6809e8b59adadfb79d899aacd250a37aac98,1536x1024,RGB,PNG,711,1001863,1001863,0,"[-1.188, 0.467, 2.571]","[-1.244, -3.078, -1.677]"
sideplank,sideplank:HERO,Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_hero.png,STRONG COLOR FIX,67d93f038db9c216bec4e1b0c7d7d9022d05a84c55e5efd2618e3e7577f8e9bb,b3df269013931730cac59af97ede3fa21fcd98f23b0e33cbb565e526b3e2845f,1536x1024,RGB,PNG,710,956362,956362,0,"[-1.188, 0.466, 2.219]","[-1.106, -3.129, -1.716]"
sideplank_reach,sideplank_reach:START,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_start.png,candidates/Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_start.png,STRONG COLOR FIX,67d93f038db9c216bec4e1b0c7d7d9022d05a84c55e5efd2618e3e7577f8e9bb,b3df269013931730cac59af97ede3fa21fcd98f23b0e33cbb565e526b3e2845f,1536x1024,RGB,PNG,710,956362,956362,0,"[-1.188, 0.466, 2.219]","[-1.106, -3.129, -1.716]"
sideplank_reach,sideplank_reach:HERO,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_hero.png,STRONG COLOR FIX,c00dae126a2115794506d9329c7f07ab834a84f6b4096e1f7fe4fcb9c2c6f2ff,b50196ca78a88dba782176341aec5d9520fc89207cde90a078b70b5366ba9f5e,1536x1024,RGB,PNG,732,1031858,1031858,0,"[-1.188, -0.349, 0.544]","[-0.177, -2.87, -2.399]"
sideplank_reach,sideplank_reach:END,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_end.png,candidates/Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_end.png,STRONG COLOR FIX,ff89936718328350ab3491b3f86f258244a0bd21c02aca55f43e824ce2fdbf2b,7cea3bf05e78ed3c39253ddcaf6bbca1cf9340174833fc54fbec0ead293f0447,1536x1024,RGB,PNG,797,961105,961105,0,"[-1.188, 0.338, 2.58]","[0.021, -3.232, -3.266]"
deadbug,"deadbug:START,deadbug:END",Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_start.png,candidates/Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_start.png,STRONG COLOR FIX,762e5d77b7c74d59c54c256ece05809ab039c8b0ddfa2de38b899440b1559723,f226b7c994fa1c20f56fe813d0a500a026c1d358b8f5ebdda27e46e55687c0c1,1536x1024,RGB,PNG,797,1111316,1111316,0,"[-0.603, 0.223, 3.227]","[-0.583, -2.071, -0.473]"
deadbug,deadbug:HERO,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_hero.png,STRONG COLOR FIX,a3881954b58d1a50671609516bd53f03c06bfb226cb95fa0ec055b9139b4aab6,0b2f7d9aef8f4e204fe4f64d646cbe53e029296cf50257b08c6428198069acb3,1536x1024,RGB,PNG,797,1069895,1069895,0,"[-0.225, 0.197, 3.6]","[-0.413, -2.214, 0.248]"
toetap,"toetap:START,toetap:END",Pilates Assets/02_Exercise_Cards/Toe Tap/toe_tap_start.png,candidates/Pilates Assets/02_Exercise_Cards/Toe Tap/toe_tap_start.png,MINOR COLOR FIX,18d1b5210a94236f9e630a64b48e3cc92d5c722e9eaa11123d82f4fb443a9f9c,3dfbe466e953e4cd6fb3f1191f1d3fd8a1b7b8865d5c5280fc59a083a1281848,1536x1024,RGB,PNG,762,1117609,1117609,0,"[-1.188, 0.255, 0.901]","[-1.386, -0.847, 0.672]"
toetap,toetap:HERO,Pilates Assets/02_Exercise_Cards/Toe Tap/toe_taps_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Toe Tap/toe_taps_hero.png,MINOR COLOR FIX,9c7120aa490af2f0c94dd864e0d2de91d89533005af2af183b2475cfd43a585f,136bdc1cdf0a2f2d94e348f5e8bd7595462f00478c1cdb76a374ba53892bd72e,1536x1024,RGB,PNG,737,1082731,1082731,0,"[-1.188, 0.463, 2.477]","[-1.386, -1.234, 1.312]"
revcrunch,"revcrunch:START,revcrunch:END",Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_start.png,MINOR COLOR FIX,18d1b5210a94236f9e630a64b48e3cc92d5c722e9eaa11123d82f4fb443a9f9c,3dfbe466e953e4cd6fb3f1191f1d3fd8a1b7b8865d5c5280fc59a083a1281848,1536x1024,RGB,PNG,762,1117609,1117609,0,"[-1.188, 0.255, 0.901]","[-1.386, -0.847, 0.672]"
revcrunch,revcrunch:HERO,Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Reverse Crunch/reverse_crunch_hero.png,MINOR COLOR FIX,49dfdd140c74aaaecff5e68768d4ecba9dcf00c68aee002f96698ab508a0a196,681a2c876a33263f67e702f9d0a94e13c6f2159cb57844d70c02e9520b6ae52d,1536x1024,RGB,PNG,735,1092313,1092313,0,"[-1.188, 0.245, 1.256]","[-1.386, -1.414, 0.595]"
bicycle,bicycle:START,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_start.png,MINOR COLOR FIX,703fed20ee7037aa72ffecaf30dd9086341363c05ebfd6e3b77dd3269f623a6b,d9a1ac5b6791d395c00bd48fc326fd83a13a5a71704d77be390f906fa41f0fbb,1536x1024,RGB,PNG,710,1086269,1086269,0,"[-1.188, 0.096, 2.309]","[-1.386, -1.93, -0.021]"
bicycle,bicycle:HERO,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_hero.png,MINOR COLOR FIX,93889f84f6fa815714ceeb7c5e7281c69220a1f9b579342ca8c921ac2ce679c7,2fb1df04c98d3cde683eaab130f8f91c8b33133cdc63a6d7f82220a23933e0b5,1536x1024,RGB,PNG,736,1001307,1001307,0,"[-1.188, -0.152, 2.049]","[-0.79, -2.056, -2.131]"
bicycle,bicycle:END,Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_end.png,candidates/Pilates Assets/02_Exercise_Cards/Bicycle Crunch/bicycle_crunch_end.png,MINOR COLOR FIX,ba012bcfae8d6aef2758d0ad42343ba5542f090d1abc0db3e104dd3a1b8d69da,0ef2435675ad9fb236e6e19c2a73c1feefab23455497dbf1ff871c9b61136362,1536x1024,RGB,PNG,771,1046068,1046068,0,"[-1.049, -0.25, 0.539]","[-0.547, -2.26, -2.166]"
catcow,catcow:START,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,candidates/Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,MINOR COLOR FIX,9d4cded4f4f1bfd7fb286735f448f2dae60ff7864d183eb9429d541d58e95a2c,6b7f2d92c744f2ffea51b2b8624f52ff291165ec86498bb67fab3a0f6134a477,1536x1024,RGB,PNG,706,1033846,1033846,0,"[-1.188, -0.102, 1.52]","[-1.386, -0.627, 2.127]"
catcow,catcow:HERO,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,MINOR COLOR FIX,ec3b49e1e85abd125791ddce66aef8816350444cb56653d868572e5106b0beca,287e60d8c4355e73dbf2f68b985d8dbbd6844ddf2617f65c087bfbb586a58db4,1536x1024,RGB,PNG,745,1029575,1029575,0,"[-1.188, 0.118, 1.342]","[-1.386, -0.359, 2.365]"
catcow,catcow:END,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,candidates/Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,MINOR COLOR FIX,0dd696918c9b8f14a3b376f8538bb3c105bad71341cfd3be7d122ddb22aba450,514ab0b8d41b0b9d14e83a36b02ca130caaa98a37d8d57efe111a235760c7edc,1536x1024,RGB,PNG,747,1032209,1032209,0,"[-1.188, -0.115, 1.608]","[-1.386, -0.884, 2.213]"
