exercise_ids,roles,source,candidate,status,source_sha256,candidate_sha256,dimensions,mode,format,horizon_y,mask_pixels,changed_pixels,changed_outside_environment_mask,wall_relative_shift_Lab,floor_relative_shift_Lab
figure_four,"figure_four:START,figure_four:END",Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_start.png,MINOR COLOR FIX,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f,98086f3c601b535469aa6e227e269e84e50f7b57eb881e37a389dcfa069213d8,1536x1024,RGB,PNG,687,1112688,1112688,0,"[-1.188, 0.361, 2.119]","[-1.386, -2.188, -0.409]"
figure_four,figure_four:MID,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_mid.png,candidates/Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_mid.png,STRONG COLOR FIX,73ee9bed7ac1ace90b06aefc6090269feb417c48a33bf93b6d3ca73bc5fa4232,de90b2a1886053e5b2c133620a242292f6625b4a844b40b3b915aae4bad1e40b,1536x1024,RGB,PNG,750,1057884,1057884,0,"[-1.188, 0.205, 3.295]","[-1.386, -2.415, -0.508]"
figure_four,figure_four:HERO,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,STRONG COLOR FIX,e29b8c233232061bfb013ef7d74e67e5f06ddbb963d795e5f2628c9818c6002e,7f8b9040737a01a3dd7f62458447d90d940ac481921739fa3eedb3f675cc6145,1536x1024,RGB,PNG,745,1022905,1022905,0,"[-1.188, 0.379, 3.6]","[-1.386, -3.088, 0.312]"
row,"row:START,row:END",Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,candidates/Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,STRONG COLOR FIX,5dddb88e5a44582b1d6c09610b7da0cf9e88a1f88bd42aa12377c24d725116b6,c95deaf71a6dc98d09d95b874fd061e613c64e5f5e6c00b2b359d1acb20a0042,1536x1024,RGB,PNG,693,1164114,1164114,0,"[-1.188, 0.097, 3.6]","[-1.386, -1.114, 3.949]"
row,row:HERO,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,STRONG COLOR FIX,0547bcc9e6a67942a390aecdf269ab109eba137b062780a6da508d46585b8f13,78deac675660833cbff5b4d2589d78b1f69998981281cdae5e4b4f0d238bcbf7,1536x1024,RGB,PNG,693,1175109,1175109,0,"[-1.188, 0.096, 3.6]","[-1.386, -1.048, 4.055]"
press,"press:START,press:END",Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,candidates/Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,STRONG COLOR FIX,59a882d0f9ed8ea5d4f3be7b28c2bd902479c0d0ebf7b756a1c5b848f59a61a1,da8ff41a8543ddeefce61a838c6ba7a1f9cc0a2927b7818f1b97f0c6f75c241a,1536x1024,RGB,PNG,712,1158870,1158870,0,"[-1.188, 0.4, 3.6]","[-1.386, -0.728, 2.79]"
press,press:HERO,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,STRONG COLOR FIX,61868521dc755c187a2e1c33ab1448ac392d97744699addd5cb58a41116211a4,456c2140348e7d6a99b42a40c7a772c2047503212897cc3d9d5ad52d9cb8ac8e,1536x1024,RGB,PNG,713,1167879,1167879,0,"[-1.188, 0.294, 3.6]","[-1.386, -0.888, 2.383]"
raise,"raise:START,raise:END",Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,candidates/Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,STRONG COLOR FIX,cdea7778ad8e2f2361119525ad5248701b3d55e91cec023a18300dc20a4d7841,dd7d56653c2f13224260105eaa0aaf93311999f19c4dccd948c873d4dbca3625,1536x1024,RGB,PNG,723,997552,997552,0,"[-1.188, 0.471, 3.6]","[-1.386, -3.432, -0.781]"
raise,raise:HERO,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,STRONG COLOR FIX,a12091fb4533d8b5ca8e170c2a108b5032aa27ed1fb38a1f12ae085a38bbcc89,9340ad6cf7fcd3d8064244bd0f589dcf4959ba07d8f3bcda99f82ee33048185a,1536x1024,RGB,PNG,716,1023603,1023603,0,"[-1.188, 0.389, 3.6]","[-1.386, -3.452, -0.825]"
heeltaps,"heeltaps:START,heeltaps:END",Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_start.png,candidates/Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_start.png,MINOR COLOR FIX,b570f9e7df3323670d679dbdac97864b80a450dc608e57577da1b2374f40a6dc,016530d921978ab6bc0e5feefbbc9cade5f7696ba61726e14cbb32988453e16a,1536x1024,RGB,PNG,737,1086165,1086153,0,"[-1.188, 0.614, 1.515]","[-0.068, -1.138, -0.802]"
heeltaps,heeltaps:HERO,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_hero.png,MINOR COLOR FIX,919dfa2c6288fc59040a70d94657ef359548669b057a86b68aa1b898daeea085,fb5351961e579c6dcac09749a84372401c4505097b2c45bede061b95a7ef7b98,1536x1024,RGB,PNG,735,1065624,1065574,0,"[-1.188, 0.594, 2.301]","[-0.028, -0.822, 0.412]"
standing_oblique,standing_oblique:START,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,STRONG COLOR FIX,181d2519da5f3b8fb2a3a5575ff84622eda9faeebd113770624e851d6d34132e,522b62989d49391992a96cf9624a8fcb5c0b126be4e706f7e0d192a5bd0a4d18,1536x1024,RGB,PNG,691,994440,994440,0,"[-1.188, 0.39, 3.6]","[-0.803, -0.544, 3.139]"
standing_oblique,standing_oblique:HERO,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,STRONG COLOR FIX,ae3ad87ed6a51ebc4ae3bfb6e22ed0cf1ba58a81c773598c55edbc67172a696b,3dce2d49d317b8303c822a8dd3c3c36494a3daa4456d52dc844cab47b4f15ad0,1536x1024,RGB,PNG,699,1124475,1124475,0,"[-1.188, 0.492, 3.6]","[-1.232, 0.536, 2.725]"
standing_oblique,standing_oblique:END,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_end.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_end.png,STRONG COLOR FIX,a05ef0cff713802ba8553a83e0dbefb18b6e626cd4ad28a0ff816bd25888a043,b883e59110000b6178daa28870ceaabda8ddf337a74bd1a9e7b2c29413418d3d,1536x1024,RGB,PNG,710,1120673,1120673,0,"[-1.188, 0.478, 3.6]","[-1.28, -0.58, 2.034]"
standing_side_bend,standing_side_bend:START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,STRONG COLOR FIX,e4157f9e392e7768e946132f7ee3c44174bfe9ac93789662896e8304c5f485e9,3d3e84577aebb8b28717cc2346eae4273a909dcd0c8ffac993d45a1d3ed7b463,1536x1024,RGB,PNG,707,1107083,1107083,0,"[-1.188, 0.384, 3.6]","[-0.112, -2.555, 1.632]"
standing_side_bend,standing_side_bend:HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,STRONG COLOR FIX,0213f3ccf124353f1d5f79a461d2274808b196b8c89fc85f89d2f27975f74ac2,bd3c2a9d4399297e7dc1b1ceb35f4f1031f6e9acbabd5576f42e8531c4fd4ece,1536x1024,RGB,PNG,712,1060714,1060709,0,"[-1.188, 0.676, 3.6]","[0.207, -3.024, 1.31]"
standing_side_bend,standing_side_bend:END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,candidates/Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,STRONG COLOR FIX,fcd885d2a07a8c545ed71ae199a0127d015486743952d1339d111834e7d90da7,d4d8e3bafe6f7010d2db0b2743044b30e45f3f34a7b5a8ed0f7225a8814ef0f7,1536x1024,RGB,PNG,711,1129337,1129333,0,"[-1.188, 0.542, 3.6]","[0.387, -2.542, 0.815]"
sidekick,sidekick:START,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,candidates/Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,STRONG COLOR FIX,10373503c0f003e51861ff18c3d68f3901d34bfaed58dcd552f13a46bc6a7ddd,2aa06ed4a92341221e9883cd47ffee2951d31e6ed7c8d5c3f3f5ef7086439f36,1536x1024,RGB,PNG,790,1023634,1023634,0,"[-1.188, 0.207, 3.291]","[-1.386, -2.568, -1.295]"
sidekick,sidekick:HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,STRONG COLOR FIX,5383fcc28f67ae395e38bd585ab5b3b708534fe0c07425e65aa99ddc4c41cb9a,6670788b571165062cdaaf5830b763b0f23c7ce6e7755a8618868673e6e695e8,1536x1024,RGB,PNG,787,914088,914088,0,"[-1.188, 0.28, 3.6]","[-1.386, -2.951, 0.31]"
sidekick,sidekick:END,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,candidates/Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,STRONG COLOR FIX,94264392b9293e7295d08a5a373221ff4ac90bcce0737b598af313b91bebdbbb,2a474bd4e3cf7dd7dbb53be946acc3d6d0d6a50c8416accb837ae01cc417aaa8,1536x1024,RGB,PNG,787,833233,833233,0,"[-1.188, 0.385, 3.6]","[-1.386, -3.587, 0.486]"
dumbbell_pullover,"dumbbell_pullover:START,dumbbell_pullover:END",Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,candidates/Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,STRONG COLOR FIX,163d1e5334266ff63776782f0de71f2d0a2ece8c017fb7d79ec191efd1d835d2,a46e6697acc8a7890d17a3c8480380c453b65320704750dac990c438b1123c57,1536x1024,RGB,PNG,792,1076650,1076650,0,"[-1.188, 1.16, 3.6]","[-1.386, -2.446, -1.619]"
dumbbell_pullover,dumbbell_pullover:HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,candidates/Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,STRONG COLOR FIX,d02df1c380d2a7d8b68050e1992437e7ec2439604e2bae87a459611c5d698cc9,b336db96813bc6187b16e2c6eb537fca93b01992cbd7f32589a7bdc393ca63d0,1536x1024,RGB,PNG,790,1083068,1083068,0,"[-1.188, 0.894, 3.6]","[-1.386, -1.934, -1.201]"
russian,"russian:START,russian:END",Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_start.png,candidates/Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_start.png,STRONG COLOR FIX,b0543e42a4ec238fff35c2105c8b84fb88545c5a5645740ed4d5c52ccf2748aa,3d92c7e12eab0e5d45477edf1fdf7fe6837e44aa155029260a8d0dcf6bf8ae78,1536x1024,RGB,PNG,726,1111095,1111095,0,"[-1.188, 0.401, 3.461]","[-0.863, -2.329, 0.57]"
russian,russian:HERO,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,STRONG COLOR FIX,6f644bf823e9f5d99a6b1707b9e90ffcfd978b87478ad83f488b84f49b4b035e,0bdaf3e735dfaa68ae6c8285414771cd26d95f1b7f394d25019e390ba69c2c2e,1536x1024,RGB,PNG,754,1051638,1051638,0,"[-1.163, 0.245, 3.6]","[-0.573, -3.029, 0.828]"
scissors,"scissors:START,scissors:END",Pilates Assets/02_Exercise_Cards/Scissors/scissors_start.png,candidates/Pilates Assets/02_Exercise_Cards/Scissors/scissors_start.png,STRONG COLOR FIX,148e35da57bb9d998aedf38bdbc33f0567b50f39a9ba67f8dc426f89b5cb99ce,bde7b721456b5388b470aac68d6a4bf5706b81889a132035ad3f543340c0f780,1536x1024,RGB,PNG,750,1143586,1143586,0,"[-1.188, 0.689, 3.421]","[-1.386, -1.285, 0.896]"
scissors,scissors:MID,Pilates Assets/02_Exercise_Cards/Scissors/scissors_mid.png,candidates/Pilates Assets/02_Exercise_Cards/Scissors/scissors_mid.png,MINOR COLOR FIX,d2ba8031043856a4f33303a2d0ff4e3321052df8975c4ff15ae8da39936d5577,1eeda8a1918e31779eee200bcd24a91b21e1db5eba65fba8ef9c545594e2fedb,1536x1024,RGB,PNG,761,1082367,1082367,0,"[-1.188, -0.031, 2.405]","[-0.707, -1.94, 0.967]"
