exercise_id,frame,source_path,width,height,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,rank
mermaid,START/END,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,1536,1024,8.2862,11.4754,9.7214,TOO PINK,TOO COOL/BLUE,45
mermaid,HERO,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_hero.png,1536,1024,9.1857,10.2825,9.6793,TOO PINK,TOO COOL/BLUE,46
thread,HERO,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_hero.png,1536,1024,10.4104,8.7363,9.6570,TOO COOL; TOO PALE,TOO COOL/BLUE,47
donkey,START/END,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,1536,1024,7.3144,12.4665,9.6329,PASS,TOO COOL/BLUE,48
thread,START/END,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_start.png,1536,1024,9.5902,9.6501,9.6171,TOO COOL; TOO PALE,TOO COOL/BLUE,49
sideplank,HERO,Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_hero.png,1536,1024,11.0053,7.5561,9.4532,TOO PINK,TOO COOL/BLUE,50
sideplank_reach,START,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_start.png,1536,1024,11.0053,7.5561,9.4532,TOO PINK,TOO COOL/BLUE,51
tap,START/END,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_start.png,1536,1024,7.9355,11.1378,9.3765,TOO PINK,TOO COOL/BLUE,52
rainbow,START,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,1536,1024,8.1848,10.6085,9.2754,TOO COOL; TOO PALE,TOO COOL/BLUE,53
inner_thigh,START/END,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,1536,1024,6.2160,12.7742,9.1672,PASS,TOO COOL/BLUE,54
swimming,START/END,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,1536,1024,9.6293,8.5903,9.1618,TOO COOL; TOO PALE,PASS,55
glute_bridge_march,HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_hero.png,1536,1024,8.9683,9.2642,9.1015,TOO PINK,TOO COOL/BLUE,56
press,HERO,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,1536,1024,7.0682,11.2832,8.9649,TOO PALE,TOO COOL/BLUE,57
sidekick,START,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,1536,1024,9.2158,8.5125,8.8993,TOO PINK,TOO COOL/BLUE,58
figure_four,MID,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_mid.png,1536,1024,8.5905,9.0492,8.7969,TOO PINK,TOO COOL/BLUE,59
plie,START/END,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_start.png,1536,1024,6.8229,10.8060,8.6153,TOO PINK,TOO COOL/BLUE,60
plank,START/HERO/END,Pilates Assets/02_Exercise_Cards/Forearm Plank/forearm_plank_start.png,1536,1024,8.7207,8.2407,8.5047,TOO PINK,TOO COOL/BLUE,61
deadbug,HERO,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_hero.png,1536,1024,7.3043,9.8035,8.4290,TOO PINK,TOO COOL/BLUE,62
rainbow,END,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,1536,1024,7.9669,8.9285,8.3996,TOO PALE,TOO COOL/BLUE,63
chest_fly,START/END,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,1536,1024,7.0808,9.8937,8.3466,PASS,TOO COOL/BLUE,64
scissors,START/END,Pilates Assets/02_Exercise_Cards/Scissors/scissors_start.png,1536,1024,5.8927,11.0099,8.1954,PASS,TOO COOL/BLUE,65
hip_march,START/END,Pilates Assets/02_Exercise_Cards/Hip March/hip_march_start.png,1536,1024,7.2081,9.0625,8.0425,TOO PINK,PASS,66
glute_bridge_march,START/END,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_start.png,1536,1024,7.2081,9.0625,8.0425,TOO PINK,PASS,67
