exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score,source_sha256
chest_opener,Chest Opener,START/END,chest_opener_start.png,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_start.png,1536,1024,RGB,PASS,,0.4233,ab5a7b2330678b5dbb3c52936b8b716c2842a5a10791bff6366765aa708690b4
tap,Plank Shoulder Taps,START/END,plank_shoulder_taps_start.png,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_start.png,1536,1024,RGB,PASS,,0.4102,c5f9a762ef4701fd1bad7588d283d79729769738e53bc3c7d11854d594a71398
chest_fly,Rozpažování s činkami vleže,HERO,chest_fly_hero.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,1536,1024,RGB,PASS,,0.4042,26296bab461ca3087bf408a7de0e8851d511e98e8ae9b20ca5cb5c669d5f2e0c
hamstring_supine,Jemné protažení zadní strany stehna,START/END,hamstring_stretch_start.png,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_start.png,1536,1024,RGB,PASS,,0.3784,78992b6ba84722d70274f22b88d5114d796c54ee08ff80af0cf873562c394a25
plie,Plié Squat,START/END,plie_squat_start.png,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_start.png,1536,1024,RGB,PASS,,0.3743,1c1d88cbc0e7f614237f275473b450fbc3454c234c9b334a9b9b3f327ea6712c
deadbug,Dead Bug,START/END,dead_bug_start.png,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_start.png,1536,1024,RGB,PASS,,0.3712,762e5d77b7c74d59c54c256ece05809ab039c8b0ddfa2de38b899440b1559723
chest_opener,Chest Opener,HERO,chest_opener_hero.png,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_hero.png,1536,1024,RGB,PASS,,0.3529,4583691f3fd532642d0b592efaa480cc1d532e002ef807e9ba8053adc4032f1c
childs_pose,Pozice dítěte,HERO,childs_pose_hero.png,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_hero.png,1536,1024,RGB,PASS,,0.3481,ee55f6610090227719b2f9c0724843fbce72c60d006274547b3cec232acf68b8
frog,Frog Pumps,START/END,frog_pumps_start.png,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,1536,1024,RGB,PASS,,0.3473,023676a06d9fd1d8a9d86f0aeb9cce86c273a6dbb7d3c7d48f570165a4387dcc
hundred,Kmity pažemi vleže,HERO,hundred_hero.png,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_hero.png,1536,1024,RGB,PASS,,0.3425,ad6673a96acdb003149ec41046866c6d6ac2e4b2a13cd17609a06e6575db99f7
mermaid,Mermaid Stretch,HERO,mermaid_stretch_hero.png,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_hero.png,1536,1024,RGB,PASS,,0.3412,2b17e9886867050df3ae96883004f47198e7d507f43da017720faa3e327b2da8
chest_fly,Rozpažování s činkami vleže,START/END,chest_fly_start.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,1536,1024,RGB,PASS,,0.3031,988dc8d1ec3e3fcf7db67db1adc2a07924dcdc33229a66a5b488f842d6f443bf
glute_bridge_march,Pochod v mostu,HERO,glute_bridge_march_hero.png,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_hero.png,1536,1024,RGB,PASS,,0.2929,94026231a8f22ed70015f2bc10d1bd2c80d4b90683436560cf7e065388105a01
knee_pushup,Kliky na kolenou,START/END,knee_push_up_start.png,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_start.png,1536,1024,RGB,PASS,,0.2852,542a4176948792153069208ffea6b5a709e607b9e7f617373971a61ea3d64938
knee_pushup,Kliky na kolenou,HERO,knee_push_up_hero.png,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_hero.png,1536,1024,RGB,PASS,,0.2828,da4bb980451fd63a45f206e91718ffe78e03fa59ab65ded0d96a849f4eb55bb2
hollow,Hollow Hold,HERO,hollow_hold_hero.png,Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_hero.png,1536,1024,RGB,PASS,,0.2809,29e2746374a8c5e57b13dbb423e13f4050e3cd901c54c97904aa8016d38bae74
heeltaps,Heel Taps,START/END,heel_taps_start.png,Pilates Assets/02_Exercise_Cards/Heel Taps/heel_taps_start.png,1536,1024,RGB,PASS,,0.2775,b570f9e7df3323670d679dbdac97864b80a450dc608e57577da1b2374f40a6dc
rollup,Rolování do sedu,HERO,roll_up_hero.png,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_hero.png,1536,1024,RGB,PASS,,0.2703,feb6de94738905d116caa668476f6885ef2bc46274afae7e201f0d3946e5a552
