exercise_id,frame_label,source_path,width,height,mode,format,sha256_before
rainbow,HERO,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,1536,1024,RGB,PNG,10ae2d347b82fa619c4e62fc20f27fdb8ab9cb45de1ded557a0283d89c2612b2
rainbow,END,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,1536,1024,RGB,PNG,f8fb1eee99d1154d7114b25b50922279593991c820f7ea7025818353f326af37
abduction,START / END,Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_start.png,1536,1024,RGB,PNG,055f549c5d818761806d0440267461420f4899e8876f5e0e1d5405ce2d90b156
abduction,HERO,Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_hero.png,1536,1024,RGB,PNG,7a29dee229e52350f8e76016c443eaa266c0f0962748641eec6f6e1ea03d671b
frog,START / END,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,1536,1024,RGB,PNG,023676a06d9fd1d8a9d86f0aeb9cce86c273a6dbb7d3c7d48f570165a4387dcc
frog,HERO,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,1536,1024,RGB,PNG,090e68ecf8fac3e93f863b40380749d9b76ca672bfa211f56240785cd6333c14
hamstring_supine,START / END,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_start.png,1536,1024,RGB,PNG,78992b6ba84722d70274f22b88d5114d796c54ee08ff80af0cf873562c394a25
hamstring_supine,HERO,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_hero.png,1536,1024,RGB,PNG,9a3d7e113af68b8ebcada69a69003149e889ead21d9ac551cb4a4d3d8b04f621
tap,START / END,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_start.png,1536,1024,RGB,PNG,c5f9a762ef4701fd1bad7588d283d79729769738e53bc3c7d11854d594a71398
tap,HERO,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,1536,1024,RGB,PNG,fd7e4948f6a0f597388f87c146cb76b41b26025ce7ee25aba1d00fa8b55e7528
chest_press,START / END,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,1536,1024,RGB,PNG,66f1cca8ccc90e516a1894cf0f6a463360f03552300ec83676723b3f57b2b3d4
chest_press,HERO,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,1536,1024,RGB,PNG,d0e83a055ea8a783de1b7e280a6655b969320de333e5fc5519c5b97e1ede61b5
sidekick,START,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,1536,1024,RGB,PNG,61145781a32ca29a6d723ad5a0db7037a255117f4087053e4506e58ede3c3800
sidekick,HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,1536,1024,RGB,PNG,6076c45b8fedaa6e3f4d1325e8b66031e903ad9cd566ddbdcab966182b19204d
sidekick,END,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,1536,1024,RGB,PNG,8a78768b821823001c234723b0022260ce6b7b1a5847715e6528c3442400aff1
glute_bridge_march,START / END,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_start.png,1536,1024,RGB,PNG,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f
glute_bridge_march,MID,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_mid.png,1536,1024,RGB,PNG,055f549c5d818761806d0440267461420f4899e8876f5e0e1d5405ce2d90b156
glute_bridge_march,HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_hero.png,1536,1024,RGB,PNG,94026231a8f22ed70015f2bc10d1bd2c80d4b90683436560cf7e065388105a01
hip_march,START / END,Pilates Assets/02_Exercise_Cards/Hip March/hip_march_start.png,1536,1024,RGB,PNG,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f
hip_march,HERO,Pilates Assets/02_Exercise_Cards/Hip March/hip_march_hero.png,1536,1024,RGB,PNG,9a4488355a060b0105ed40e2b2d665ab3cedf332fde66b35ba12cce25f99fcbc
standing_oblique,START,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,1536,1024,RGB,PNG,8a0d1db2f23a2a8f99ee1427dc709204c7945246b3850fb757544a0a456544c7
standing_oblique,HERO,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,1536,1024,RGB,PNG,bf7e3e2cecdc172547b2a67f74ca5422e71dcd139d944b853d02a475c959b59b
standing_oblique,END,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_end.png,1536,1024,RGB,PNG,e98496f58ca706584d479b160d8bafbd9708212cc7e79601044e741db13a9f64
